,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
BWS-0.02-0.0027272727272727275.csv,-98.44286209583018,-113.23836637634471,-121.7999228452664,-235.3000390519358,-277.4874159603246,-298.4117431981858,-94.47680290058511,-106.06453076600992,-104.63510894585961,-85.05517797938013,-102.0799801899472,-91.81683904408013,-63.53599110777615,-64.09338825159402,-63.69791100153368,-58.592607506107505,-52.387640848360455,-58.58615677950458,-30.89310443891016,-29.448673604265416,-31.005780296154104,-2181.050043187956,-10.303559516861696
BWS-0.02-0.007474747474747474.csv,-99.11253850893526,-114.53092004557948,-123.18510554778462,-236.2584573843782,-276.9782170142778,-298.75503286942995,-94.50885577058838,-106.98076753103537,-106.06115223071501,-85.01873829857752,-101.7097913608021,-91.61648065165258,-63.4703357594456,-64.52016992448861,-64.11748049014749,-58.43036406419812,-53.05397578895794,-58.6917084308663,-30.903920990426002,-29.768313883103286,-31.496454320281746,-2189.168780865671,-18.422297194576913
BWS-0.02-0.004747474747474748.csv,-98.74829938306567,-113.97867696684459,-122.50996372078728,-235.83870782761372,-277.1137563216762,-298.53446921922705,-94.42529802862036,-106.71020546607365,-105.43251899462926,-85.04492022559937,-102.02825003575445,-91.79392566235452,-63.541555949053794,-64.31916491428352,-63.88351684215793,-58.528452349903205,-52.69792423409091,-58.62312901463075,-30.892237656771876,-29.601570095971397,-31.211778385331268,-2185.4583212944403,-14.711837623346128
BWS-0.02-0.0018181818181818182.csv,-98.1710358470403,-112.67844125646279,-121.252944739426,-234.83655721499707,-277.5783536025774,-298.34276887099105,-94.42700467537497,-105.60626250209808,-104.05247538081115,-85.06093897487135,-102.08210909493147,-91.82681692983968,-63.56934888084836,-64.02434983669482,-63.683373952564175,-58.55265706607867,-52.257525692421474,-58.64401522939955,-30.848491018202346,-29.385870600184845,-30.896460991768055,-2177.7778023575834,-7.031318686489158
BWS-0.02-0.004343434343434344.csv,-98.75394718039895,-113.8888746678802,-122.45226013484138,-235.77528252255078,-277.18013902282445,-298.3500144029394,-94.43668667763438,-106.58231484880976,-105.27849864762916,-85.06621398702016,-102.04181079540035,-91.81897453773828,-63.51222407601028,-64.27976856119555,-63.834326690670835,-58.53754306324592,-52.65674813615557,-58.567010602356376,-30.865815895286953,-29.5407406772296,-31.188694447240398,-2184.607889575059,-13.861405903964624
BWS-0.02-0.004949494949494949.csv,-98.87522799625386,-114.05782665125425,-122.60171387755868,-235.7841638881038,-276.95212790724395,-298.6816703216435,-94.44453991460514,-106.6226523490323,-105.51944475208528,-85.05327972772976,-102.04526769605802,-91.80154634288465,-63.528684158888645,-64.30896993629733,-63.882080163947954,-58.51204042659828,-52.719639145797366,-58.60396339943049,-30.888732237099976,-29.61752311154234,-31.231459639345506,-2185.732553643401,-14.986069972306723
BWS-0.02-0.006868686868686869.csv,-99.08034767774174,-114.50573805201277,-123.02904798101055,-236.21035543051104,-277.0127630402596,-298.7065371791051,-94.55206941340069,-106.961479578011,-105.95884643208507,-85.05129215985873,-101.78249879825978,-91.60243593742292,-63.457834185300726,-64.44451162740368,-64.05456754226289,-58.47194075457882,-52.96070685227961,-58.6580853915028,-30.911469583693453,-29.725352310273358,-31.425898483050346,-2188.563778410024,-17.81729473892983
BWS-0.02-0.0026262626262626263.csv,-98.40868000964885,-113.21090510567099,-121.79538256055183,-235.25162833330614,-277.1823129698535,-298.3730046712236,-94.4312208232594,-106.01969697375085,-104.58395832936266,-85.06334195816595,-102.0788362210069,-91.82529215727928,-63.48967200422194,-64.11091080955161,-63.68839344644069,-58.54854334974189,-52.38230016160967,-58.59061638424625,-30.852828190032422,-29.45711460637645,-30.980120163806614,-2180.3247592291077,-9.578275558013502
BWS-0.02-0.003737373737373737.csv,-98.65524365213916,-113.77487159644677,-122.21844868718,-235.60114896724957,-277.1784087409858,-298.477353367978,-94.38096374640878,-106.34111634866423,-105.16915884332148,-85.04542699237469,-102.0792140013832,-91.82570698036093,-63.504240123189376,-64.21532746845553,-63.74839902021113,-58.5699867805265,-52.5521975999039,-58.58002229735127,-30.887335342781878,-29.54103051127619,-31.09925827716702,-2183.444859345356,-12.69837567426157
BWS-0.02-0.0069696969696969695.csv,-99.09335232294352,-114.51641568162495,-123.05406875021401,-236.12109094513391,-276.8800176085487,-298.72520870650936,-94.41918630462865,-106.98169930746191,-105.96678831910589,-85.02740649683902,-101.83370963565108,-91.58469680574854,-63.459542717559295,-64.4912793812846,-64.06006721853205,-58.4377909282002,-53.00305054718863,-58.68477288771077,-30.896150160585528,-29.726978616271154,-31.42017512305613,-2188.3834484647978,-17.636964793703555
