,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
BWS-0.02-52-0.0008333333333333334.csv,-97.64453670702889,-111.3676580261332,-120.34990941783688,-233.8323465436511,-278.1643335947685,-298.8868954209859,-94.45054709383419,-104.88165161023697,-103.05810587121692,-85.08462596747555,-102.24190526179703,-91.8331102015433,-63.71335430415866,-64.0332334277825,-63.661389445826146,-58.54913227177515,-52.21555658293477,-58.690760525169715,-30.836339909572494,-29.345324108507995,-30.806652268167976,-2173.6473685604037,1.0014296533519873
BWS-0.02-59-0.0015625.csv,-98.29378723175577,-112.47551874279792,-121.06434292886213,-234.78978689399403,-277.3432818085137,-298.39199002629283,-94.40435379006283,-105.50242825625475,-103.78239774672639,-85.08371948162825,-102.24863992986653,-91.83636459555328,-63.692393111346234,-64.05327480718609,-63.63379334940724,-58.55112329494483,-52.27243894448833,-58.67406673338701,-30.844045506685475,-29.356721126531106,-30.834395480399237,-2177.1288637866846,1.0030336267508142
BWS-0.02-44-0.0022916666666666667.csv,-97.99114745487057,-112.8676928171502,-121.21519758237685,-234.6727995342772,-277.7752221714121,-298.4931662489709,-94.48744986503654,-106.24547281200627,-104.46138685044787,-85.08673403094105,-102.23826045743462,-91.82397295402917,-63.623315800284026,-64.18428694968642,-63.6551839065702,-58.58558207234767,-52.38191865306486,-58.6237283640435,-30.829403885069276,-29.40661807925865,-30.93813457491415,-2179.5866750641926,1.0041659746795721
BWS-0.02-52-0.0005208333333333333.csv,-97.49625700316653,-110.76754039912984,-119.98369277912464,-233.54898280742336,-278.7922987569864,-299.29370095831166,-94.46456094632666,-104.33907013299385,-102.58893675619868,-85.08291122876138,-102.23962027369821,-91.83338083978155,-63.70102936874529,-64.02576623475096,-63.655279479020464,-58.585871920521804,-52.23357821276102,-58.73030424223089,-30.847419990075053,-29.350443351013638,-30.791790330387695,-2172.3524360114097,1.0008330598693416
BWS-0.02-47-0.0025.csv,-98.2281594320486,-113.1218483939652,-121.50988852745486,-234.84582881107434,-277.4968484226902,-298.42511308570215,-94.4243670191858,-106.05075623900478,-104.62596768638304,-85.07772824307337,-102.23829913167084,-91.82158750979893,-63.639740368446525,-64.1531645968931,-63.66560648872125,-58.570191676737196,-52.396071064181754,-58.58064843173681,-30.84146486717377,-29.433408637343177,-30.99758419768342,-2180.14427283097,1.0044228677462075
BWS-0.02-57-0.0007291666666666667.csv,-97.67391723683313,-111.21745728911068,-120.27994292106126,-234.06616803741136,-278.1653489146201,-298.8326592594122,-94.45870872608216,-104.46446545643683,-102.77890530050163,-85.0832673033567,-102.2431301868128,-91.83559215127445,-63.7161508360741,-64.02142108309722,-63.64372854203561,-58.57833309117439,-52.23065829302106,-58.72624802917588,-30.860445135542157,-29.35487473825078,-30.79215772089045,-2173.023580252175,1.0011422653799043
BWS-0.02-59-0.000625.csv,-97.72809224135761,-110.93741252101505,-120.23828150156588,-233.92064948569606,-278.109021751264,-298.84923246367055,-94.43484194763003,-104.3228263235856,-102.62777782242665,-85.08352072284036,-102.24020790352856,-91.83478759096548,-63.70949431335993,-64.02228979527999,-63.6383702477374,-58.57241797032642,-52.20565595118797,-58.74493714962915,-30.849220874795805,-29.336188945557765,-30.78701679064006,-2172.19224431406,1.0007592573205624
BWS-0.02-37-0.0003125.csv,-96.81398597888392,-110.37197247637995,-119.80822586600176,-232.79263931228002,-280.5820964361912,-301.34233988920107,-94.58134027677062,-104.65762708591578,-102.82811591788362,-85.08343351461619,-102.22444735619202,-91.82037412025763,-63.67788449642588,-64.04703017393335,-63.63891065397231,-58.5852837861831,-52.222321828144345,-58.694403788410085,-30.845647500498107,-29.343539493070566,-30.82628108791873,-2174.78790103913,1.0019551125692123
BWS-0.02-38-0.0011458333333333333.csv,-97.36714201657468,-112.02098922699099,-120.44433251218729,-233.70095156726526,-278.6089934017039,-299.0291835932741,-94.47158115778834,-105.60779042193597,-103.57755688725089,-85.08408445999149,-102.23234815748276,-91.82175540361018,-63.63429804092486,-64.11271559391966,-63.62919235043882,-58.53368939351883,-52.23945537239591,-58.66326740688418,-30.812963620824405,-29.352231818285812,-30.85097772609509,-2175.795500129344,1.0024193275206466
BWS-0.02-42-0.00010416666666666667.csv,-96.7859982508208,-109.174553932405,-120.45799775801399,-232.5492418447257,-281.56108678386994,-303.7122577481275,-94.50022608710132,-103.8069330162151,-102.54967854876809,-85.08244025798372,-102.24049957957911,-91.82963370343437,-63.697656313390446,-64.02649866234282,-63.63919847484479,-58.57696580183276,-52.21820279202246,-58.73169633224423,-30.85199051527411,-29.347144636283094,-30.802422499379027,-2176.142323538659,1.0025791139016338
BWS-0.02-57-0.0023958333333333336.csv,-98.48882258808487,-112.9875437795399,-121.63465729912463,-235.28522045349737,-277.3933952692811,-298.5750116720398,-94.42030315315169,-106.02321077618413,-104.45905169827344,-85.08077057009766,-102.23300447191959,-91.83504293198794,-63.632638038881126,-64.1068237384372,-63.642476610531254,-58.58586719537734,-52.36655069230967,-58.64285834992892,-30.84290720809169,-29.436228186383204,-30.957272552170142,-2180.629657235293,1.0046464911097734
BWS-0.02-59-0.00020833333333333335.csv,-97.36626896918959,-109.2539241012052,-120.32365028942013,-233.09797677704404,-279.3294536705504,-300.39307761773784,-94.41702847278988,-103.32747797250694,-102.20141069374661,-85.08367874015508,-102.24036117445448,-91.83568998657141,-63.701744946071514,-64.02005074696893,-63.64405951519405,-58.58176439412383,-52.214957867347586,-58.755908271082525,-30.844064920544728,-29.342403989376606,-30.780448647668273,-2170.7554017637503,1.0000972839214315
BWS-0.02-60-0.0013541666666666667.csv,-98.22448038383907,-112.2111094526963,-120.91346371890451,-234.68963417340024,-277.39367949613285,-298.4454324517645,-94.46929232743058,-105.21235189026805,-103.56034547261042,-85.0845286811078,-102.24071828589753,-91.83356581284625,-63.70872624224008,-64.03472003798193,-63.64340173896295,-58.54523427406175,-52.24047977598208,-58.69642403685194,-30.85247784828805,-29.368063048464208,-30.83681979590999,-2176.204948945641,1.0026079662999168
BWS-0.02-56-0.0008333333333333334.csv,-97.78581603963653,-111.31673300891117,-120.38547683516168,-234.08734319436002,-277.9899814662448,-298.76218032342797,-94.47173602851171,-104.78780313887586,-102.95098231648886,-85.08322588665568,-102.23814436215734,-91.83618513118402,-63.68503111590587,-64.0391882589729,-63.63572172973042,-58.549750349267306,-52.22281010155818,-58.70526299612671,-30.84219378121683,-29.351416845805517,-30.801792019912682,-2173.528774930112,1.0013750156127703
