,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
NWS-80-0.5.csv,-98.16528013430705,-108.24358697907212,-123.62455280255706,-232.444675281168,-282.8910517470743,-315.38987312093616,-94.3276918697763,-102.33807748107395,-102.42622682766053,-85.10265262571474,-101.92875024556412,-91.83547977384879,-63.66931912751045,-63.98413006928149,-63.65733522932557,-58.604771105189634,-52.233655495655455,-58.74541238573098,-30.87448745785245,-29.35745908514774,-30.7677074570025,-2190.612176301449,-2.7762829498542487
NWS-50-0.5.csv,-97.0808583578561,-108.55322721109847,-122.07349693006314,-232.36439149555974,-283.6109895942144,-313.43713670486915,-94.42526518299474,-103.19073608843087,-102.51162165511599,-85.10458260086477,-101.92630602169966,-91.83495072593023,-63.67165389890326,-64.00427647949695,-63.65937244232299,-58.589559912696124,-52.22891591142267,-58.732874081181365,-30.87227280115543,-29.346991797519784,-30.776370496042638,-2187.995850389438,-0.15995703784346915
NWS-0-0.5.csv,-95.74168969637708,-114.24835495185879,-124.53875738048468,-232.33921248864988,-287.04602412670926,-315.1596686738904,-95.35626379319461,-110.55460585983884,-110.29752007504311,-84.80883698272484,-101.24633301844153,-91.25092961221252,-63.17726567519169,-67.42278677592967,-64.49949452325383,-58.736701953270384,-53.825438212732415,-58.921905120187304,-30.78899090270816,-29.928379540774742,-31.907661099052852,-2221.796820462526,-33.96092711093115
NWS-99-0.5.csv,-98.73633020415316,-108.12268767475845,-124.11620074322096,-232.50354989958316,-282.5729484818954,-316.78326611099067,-94.36315415515651,-102.01923744071603,-102.43874952550526,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.668828427382884,-63.98311427949009,-63.65833069692185,-58.60427776703255,-52.23699133786578,-58.748001269338374,-30.87311369378007,-29.35653582941641,-30.769173877346276,-2192.421450021549,-4.585556669954258
NWS-26-0.5.csv,-96.17194409170992,-109.74564800543985,-120.92458126421053,-232.33477810144785,-284.9226566267074,-312.99720530431944,-94.82909908699983,-105.00365151701507,-103.31994705939522,-85.10079810984672,-101.92797421513616,-91.82835442102433,-63.56799800275781,-64.22914826068342,-63.650234904371345,-58.64417082047931,-52.23064971869084,-58.664500480980685,-30.85827585235967,-29.369829371885874,-30.866708462330227,-2191.1881536777914,-3.352260326196756
NWS-55-0.5.csv,-97.27945462290236,-108.40200606586413,-122.26853345699972,-232.34745995828064,-283.45922491648463,-313.5878232099787,-94.39095095428328,-103.00128876351472,-102.45223676890507,-85.10331519764507,-101.92619894613169,-91.83510295602449,-63.664656018719484,-63.99091159618028,-63.65882709234157,-58.601285888247496,-52.2345005726245,-58.73906174634076,-30.877273535378084,-29.3506208081962,-30.771413392487904,-2187.942146467531,-0.10625311593639708
NWS-90-0.5.csv,-98.47956944509481,-108.12590248405802,-123.8058463316535,-232.45785628498777,-282.75743189770964,-316.02648466058554,-94.3391600524497,-102.12701372592602,-102.39631732391408,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.66881435559165,-63.98329556829207,-63.658741274025324,-58.60401592607114,-52.23730082659511,-58.74732843505662,-30.872766265428776,-29.3575137943228,-30.76787628191284,-2191.2801935406696,-3.4443001890749656
NWS-91-0.5.csv,-98.51333379720333,-108.12210753575835,-123.82464374800013,-232.4563943193446,-282.75591379447076,-316.13460067306164,-94.33426277464832,-102.1112068698958,-102.3939727645171,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.668969156048114,-63.98338362191147,-63.65887574011686,-58.60398181038823,-52.237259089594176,-58.74755830275449,-30.87287736856887,-29.357591398622063,-30.76762348659016,-2191.411514858489,-3.5756215068945494
NWS-54-0.5.csv,-97.23437883157635,-108.43904652594696,-122.21633205941082,-232.3500625110163,-283.48888002029264,-313.56793361488235,-94.37257498439325,-103.01593225330413,-102.48151460872087,-85.10367114929124,-101.92594500577944,-91.83519121691988,-63.66640154221374,-63.99181353453793,-63.65984003344674,-58.59502144729694,-52.234097045355014,-58.7384039733606,-30.877995259393767,-29.34606143336942,-30.77281747165639,-2187.913914522164,-0.07802117056917268
NWS-95-0.5.csv,-98.64156999448848,-108.1094665051682,-123.9215705861263,-232.47643852347844,-282.67069311700163,-316.47709361046446,-94.34239261191749,-102.08896998272779,-102.42952731671785,-85.10265262571474,-101.9288262074313,-91.83547977384879,-63.66867763264444,-63.983340236180034,-63.65881288342689,-58.60562150574168,-52.2372400392646,-58.74696871287136,-30.872633013426153,-29.356470839184478,-30.768356523600737,-2191.922802241426,-4.086908889831193
NWS-23-0.5.csv,-96.1126747674962,-110.11602794584871,-120.82828815798612,-232.3454858602264,-285.25688646455814,-313.01482739693944,-94.91310164045021,-105.45044309945176,-103.56172086790059,-85.08330409501704,-101.92198677515175,-91.84306863071926,-63.52016709869507,-64.32181979937302,-63.64579609186758,-58.627838666809446,-52.239018335973526,-58.64468140897252,-30.846210264240373,-29.403434476318203,-30.898290631938345,-2192.5950724759336,-4.759179124338971
NWS-60-0.5.csv,-97.47490534211177,-108.29928342306351,-122.44750892848653,-232.338472585998,-283.44606932260183,-313.9015460646434,-94.32807048933756,-102.84379330909435,-102.50463443638534,-85.1031035753714,-101.92710966272817,-91.83526522985679,-63.6715386765853,-63.98380241551715,-63.65857939065716,-58.601287486214744,-52.23607996716349,-58.735309353708715,-30.8790107780262,-29.35402421914343,-30.768849565072614,-2188.338244221767,-0.5023508701724495
NWS-45-0.5.csv,-96.90274246348213,-108.70559732903868,-121.84225524783218,-232.3656570185015,-283.87994904693664,-313.2714935193327,-94.49251561464474,-103.45720288266357,-102.61926523912429,-85.10359550718924,-101.92420556884659,-91.8358950089952,-63.668272549908885,-64.01898594330981,-63.66266459605896,-58.59407416641719,-52.22400677896231,-58.72192871276851,-30.860856877222567,-29.343749799409654,-30.79002136630693,-2188.2849352369526,-0.44904188535792855
NWS-28-0.5.csv,-96.23638704327564,-109.57550619432122,-120.956709566029,-232.32321768013588,-284.7780107250879,-312.94231369716783,-94.75340050713288,-104.77053592300157,-103.15425096383663,-85.1119927229985,-101.92662909112119,-91.83967521492329,-63.60172445162837,-64.1683614918743,-63.66303230834427,-58.641170165487395,-52.217555934644224,-58.660532922621,-30.85428504892103,-29.34965579476779,-30.83260234221765,-2190.3575497895376,-2.5216564379429656
